taxa	Rep	Phenols	Tannins	X_3Deoxy	Common_name
PI534047	1	11.545	22.365	64.583	450 Bori Light Brown
PI655978	1	1.359	0	22.209	Tx2737
PI597949	2	2.852	0	20.249	SAP-146
NA	NA	10.503	11.397	45.328	NA
PI656015	2	9.602	13.701	23.602	Ajabsido
PI585295	1	5.524	12.758	32.783	Tx2907
PI655977	1	8.488	8.517	57.361	TAM2566
PI564163	1	4.129	2.927	22.381	BTx623
PI533948	1	3.72	0	21.491	Nebraska 6350
PI656107	2	10.63	23.82	13.392	SC 702
NA	NA	7.816	12.503	36.202	NA
PI656008	2	1.993	0.235	25.209	RCV
PI655994	2	14.438	25.323	27.636	WILEY
PI533876	2	12.963	28.313	29.379	KA 12 Janjari
PI561472	1	2.481	0.375	23.11	SURENO
PI576425	2	16.166	32.084	54.539	SAP-150
PI533970	1	5.412	2.037	5.251	2033Z-3
PI576425	1	16.771	32.066	35.397	SAP-150
NA	NA	9.967	16.632	42.598	NA
NA	NA	7.708	12.956	37.432	NA
PI655974	2	2.825	0	47.871	TEXAS BLACKHULL KAFIR
PI656095	1	3.855	0	46.753	SC 373
PI576366	2	9.337	13.677	0	Jowar Red Jankinagar
PI576348	2	14.427	19.886	38.537	SAP-341
PI533807	2	8.624	14.477	44.174	SAP-206
PI656065	2	9.308	13.951	52.372	Koro Kollo
NA	NA	7.895	12.317	23.401	NA
PI655985	1	2.839	0	30.91	PLAINSMAN
PI576364	1	15.669	27.176	23.978	Chari Uri
NA	NA	0.926	0	41.201	NA
PI656050	1	6.378	9.844	22.509	Mota Maradi
PI656060	1	0.438	0	20.493	QL3-TEXAS
PI607931	1	7.014	5.959	54.453	Tx2911
PI533987	1	8.02	9.625	16.463	Kireniga 317
PI656002	2	3.816	1.826	21.62	BOK11
PI533940	1	2.7	2.142	12.238	AS 4601 Pawaga
PI655974	1	3.045	2.27	10.504	TEXAS BLACKHULL KAFIR
PI659753	2	0.946	0	129.385	IS 5590C
NA	NA	8.8	14.792	20.692	NA
PI597958	2	0.659	0	19.241	SAP-197
PI552856	1	1.165	0	8.369	A/BTx626
PI656062	1	1.479	0	50.19	96CD635
PI659753	1	1.292	0	22.066	IS 5590C
PI656014	1	20.236	35.012	56.751	Acme Broomcorn
PI576381	1	0.874	0	53.527	Mashica
PI533903	1	8.607	7.839	34.771	No. 35 Mab
NA	NA	40.021	82.51	202.725	NA
PI548797	1	2.34	0.476	14.739	Tx2891
PI533939	2	12.483	13.306	52.075	AS 4055 N Kambwa
PI576345	1	0.653	0	21.225	SAP-294
PI598069	2	8.574	11.988	19.871	RTx2909
PI17548	2	14.075	21.894	3.216	RED AMBER
PI534097	2	0.931	0	49.296	HC 6028
PI656085	1	0	0	4.855	SC 1465
PI642992	1	6.908	4.842	42.161	Standard Early Hegari
PI656107	2	8.447	13.297	5.43	SC 702
PI656021	2	1.897	0	39.504	44M
PI574455	1	0	0	24.751	BTx638
PI656001	2	1.599	0	48.882	TX2783
PI533940	2	3.092	1.311	5.401	AS 4601 Pawaga
PI534070	1	1.099	0	33.254	BE 25
PI533863	1	0.231	0	26.586	740 Oua Berr
PI656062	2	1.431	0	10.043	96CD635
PI561072	2	2.027	1.876	35.11	A/BTxARG-1
PI641874	2	3.511	0	36.889	DAY MILO
PI533766	1	3.214	0	9.871	No. 4 Hadoui
PI534099	2	6.721	3.049	75.48	A 84
PI533830	1	13.445	16.8	50.845	Culum Brick
PI566819	1	12.861	15.123	16.39	DELLA
PI533752	1	14.801	22.352	27.741	54.K.94(Witchweed res.)
PI597960	1	1.605	0	45.873	SAP-137
PI656028	1	1.544	0	11.808	Town
PI655998	1	2.432	1.582	18.555	KS19
PI576399	1	9.292	14.679	44.252	SAP-224
PI655976	1	2.047	0	1.33	RED KAFIR
PI48770	1	10.44	20.374	27.518	WHITE KAFIR
PI656071	2	12.155	21.378	46.099	SC 1019
PI533824	2	15.029	16.89	163.179	Bonkum
PI534101	2	7.633	15.46	2.953	A-106
PI655984	2	6.786	10.255	4.556	CHILTEX
PI656033	1	1.501	0	55.849	60M
PI655987	1	3.259	0	18.421	MARTIN
PI533997	1	1.297	0	12.847	MN 1592 (preconverted)
PI656044	2	2.713	0	21.505	Kuyuma
PI533799	1	0	0	24.929	SAP-404
PI533987	2	10.593	9.677	53.294	Kireniga 317
PI651492	2	14.621	29.909	62.361	COWLEY
PI656118	1	8.671	10.51	8.817	SC 332
PI576130	2	1.814	0	15.329	ICSV 745
PI533810	2	0.971	0	46.955	Karad 2-7-11
PI656016	1	1.084	0	12.964	B KS66
PI656051	1	1.035	0	7.102	MR732
PI534028	1	0	0	18.675	Jonar Tamargundi
PI656000	2	2.443	0.13	22.867	RTx432
PI656057	2	6.923	7.104	62.659	P898012
PI533901	1	15.648	22.07	50.241	A-96
PI656003	2	10.87	15.221	3.433	B AZ9504
PI534037	2	9.77	15.581	4.821	6428 Sian
PI533757	2	4.869	4.46	2.362	Monshal
PI642992	2	5.8	4.844	22.884	Standard Early Hegari
PI656040	1	3.536	0.256	71.757	K886
PI534108	2	8.264	11.617	0	EC 21428 SB 63
PI533762	2	7.336	10.719	11.437	Tambroro 7
PI533919	1	10.14	5.414	18.059	"R1,4"
PI656020	2	4.751	0.288	19.669	BTx406
PI656028	2	4.134	0	11.549	Town
PI533972	2	11.605	21.241	8.359	Dobbs
PI656053	1	4.827	7.093	9.746	N290B
