taxa	Rep	Phenols	Tannin	X_3Deoxy	Common_name
PI598070	1	7.566	12.227	10.356	RTx2910
PI548797	2	3.131	6.014	11.38	Tx2891
PI597945	2	1.562	-2.371	16.225	SAP-336
PI534079	1	7.633	13.632	24.256	PL 47
PI595718	1	2.983	-8.374	14.506	SAP-162
PI655976	1	4.568	3.309	7.934	RED KAFIR
PI651492	2	8.965	14.086	21.436	COWLEY
PI656107	2	9.132	21.462	-2.404	SC 702
PI642791	2	6.693	9.341	29.47	BTx640
PI574455	2	1.368	-8.163	-5.5	BTx638
PI576130	1	2.969	3.186	16.24	ICSV 745
PI576390	2	6.516	15.167	5.581	Kharuth Waragel
PI651496	1	8.536	17.245	15.482	RIO
PI656066	2	1.374	-2.781	35.515	Lakahiri
PI533799	2	-0.081	-0.667	-5.508	SAP-404
PI564164	2	3.249	0.302	25.073	RTX433
PI656034	2	2.143	4.184	22.01	Dorado
PI585295	2	2.195	0.534	-8.986	Tx2907
PI656061	2	1.029	-5.214	13.233	QL3(India)
PI655975	2	4.474	5.381	7.04	WHEATLAND
PI656013	2	11.818	27.304	21.673	94Q63
PI655998	2	4.951	7.705	6.523	KS19
PI597972	2	5.966	1.401	25.25	SAP-398
PI534009	2	7.606	8.75	3.37	Yerra Jonna Goda
PI533810	2	0.652	-2.154	13.527	Karad 2-7-11
PI561072	2	3.164	6.013	6.663	A/BTxARG-1
PI564165	2	4.449	8.442	25.958	RTX434
PI534157	2	1.875	-0.846	12.704	"R4, B1"
PI656052	2	3.331	2.302	0.192	N250B
PI656031	2	1.229	3.054	-3.359	CE151-262-A1
PI534047	1	11.864	26.601	22.323	450 Bori Light Brown
PI576352	2	7.707	10.474	39.383	Marupantse
PI653617	2	13.49	23.521	11.262	KELLER
PI598069	2	9.904	18.012	-2.876	RTx2909
PI659695	2	3.23	-6.533	58.037	IS 12623C
PI533943	2	1.137	-3.287	0.045	AS 2613 NT
PI534070	2	2.521	-3.715	25.35	BE 25
PI576332	2	15.417	33.688	-2.536	SAP-287
PI655972	2	4.474	7.139	7.957	PINK KAFIR
PI656026	2	3.287	5.83	28.096	SOBERANO
PI533955	2	16.085	31.945	-20.383	P 3749 Q2/5/62
PI655992	2	1.234	-1.738	3.511	TX 3197 (COMB KAFIR 60) B LINE
PI533822	2	2.149	-0.543	19.213	AS4616 Balangira-Mwanza
PI533912	2	11.533	22.361	32.913	Mendo
PI655974	2	2.581	2.567	8.746	TEXAS BLACKHULL KAFIR
PI576345	2	5.769	9.128	24.179	SAP-294
PI533986	2	7.869	15.403	2.868	Huria White 621
PI656038	2	12.463	26.895	-2.633	IS 8525(J)
PI656051	2	3.116	7.501	5.66	MR732
PI656105	2	10.94	21.246	-15.75	SC 639
PI597982	2	10.47	22.204	35.056	SAP-175
PI533996	2	5.124	5.881	39.357	Hamaisi 38
PI656040	2	1.896	3.161	-24.201	K886
PI533788	2	11.275	22.641	56.393	SAP-263
PI576387	2	-0.358	-6.605	-12.398	Awanlek
PI656070	2	2.636	1.256	-4.901	SC 748-5
PI655970	2	1.823	2.003	-2.46	Standard Blackhull Kafir
PI533924	2	9.203	16.905	3.592	"R3,121"
PI597958	2	2.264	0.252	45.707	SAP-197
PI533752	2	7.248	5.283	23.501	54.K.94(Witchweed res.)
PI601816	2	2.815	5.341	6.324	ICSV 400
PI656036	2	4.485	8.642	27.19	ICSV 1089BF
PI655983	2	16.247	34.146	7.638	SUGAR DRIP
PI656050	2	8.03	15.677	24.933	Mota Maradi
PI655977	2	7.766	9.921	15.854	TAM2566
PI533964	1	-0.134	-3.053	9.422	"Safara, Kordafan"
PI659696	1	14.705	32.597	18.809	SC 720
PI656056	2	-0.729	-8.241	-12.499	P850029
PI656108	1	-0.732	-10.937	8.338	SC 833
